WSRace,Year,WSPosition,WSName,WSClub,WSClass,WSTime,WSDecimalTime,WSNotes
D,1978,15,"Gehnich P & Blumson R","City Of London Police","K2 Senior",05:58:35,5.97,.
A,1978,16,"Spencer A & Mcgladdery G M","Hereford K.C.","K2 Senior",02:07:08,2.12,.
B,1978,16,"Escort J & Metcalfe R J","Chippenham ","K2 Senior",03:06:13,3.10,.
C,1978,16,"Chandler M A & Barge M",Rnka,"K2 Senior",03:51:02,3.85,.
C,1978,16,"",Unknown,"K2 Senior",04:21:54,4.35,.
D,1978,16,"Bainton G & Cottle G J","Bradford On Avon R C","K2 Senior",06:06:05,6.10,.
A,1978,17,"Hodgson R & Smith D","Newham ","K2 Senior",02:10:05,2.17,.
B,1978,17,"Woollven R & Hope N K","Rmcs ","K2 Senior",03:06:30,3.10,.
C,1978,17,"Love D & Hill G","Chichester ","K2 Senior",03:51:30,3.85,.
D,1978,17,"Williams G & Booth S","Sussex Police","K2 Senior",06:06:25,6.10,.
A,1978,18,"Kelly K & Kelly M J","Royal ","K2 Senior",02:10:40,2.17,.
B,1978,18,"Love D & Hill G","Chichester ","K2 Senior",03:07:55,3.12,.
C,1978,18,"Bainton G & Cottle G J","Bradford On Avon R C","K2 Senior",03:53:16,3.88,.
D,1978,18,"",Unknown,"K2 Senior",06:07:50,6.12,.
A,1978,19,"Jonston B & Elsey C","Wey & Lincoln ","K2 Senior",02:10:42,2.17,.
B,1978,19,"Bainton G & Cottle G J","Bradford On Avon R C","K2 Senior",03:08:24,3.13,.
C,1978,19,"Witt R A & Witt H A","12Th Ruislip Vsu","K2 Senior",03:53:50,3.88,.
C,1978,19,"",Unknown,"K2 Senior",04:29:40,4.48,.
D,1978,19,"Gillman C R & Little R J",Totnescc,"K2 Senior",06:08:15,6.13,.
A,1978,20,"Witt R A & Witt H A","12Th Ruislip V.S.U.","K2 Senior",02:10:45,2.17,.
B,1978,20,"Chandler M A & Barge M",Rnka,"K2 Senior",03:13:05,3.22,.
C,1978,20,"Woollven R & Hope N K","Rmcs ","K2 Senior",03:53:52,3.88,.
D,1978,20,"Springford P C & West G","Leverton ","K2 Senior",06:09:45,6.15,.
A,1978,21,"Ince A J & Sage J W","21 (Artists)","K2 Senior",02:11:00,2.18,.
A,1978,21,"",Unknown,"K2 Senior",02:35:10,2.58,.
B,1978,21,"",Recc,"K2 Senior",03:17:20,3.28,.
C,1978,21,"Compton M & Bradden N","St Austel Scout ","K2 Senior",03:57:20,3.95,.
D,1978,21,"Escort J & Metcalfe R J","Chippenham ","K2 Senior",06:19:00,6.32,.
A,1978,22,"Chandler M A & Barge M",Rnka,"K2 Senior",02:11:49,2.18,.
B,1978,22,"Springford P C & West G","Leverton ","K2 Senior",03:23:27,3.38,.
C,1978,22,"",Recc,"K2 Senior",03:59:09,3.98,.
D,1978,22,"","Royal Marins Ka","K2 Senior",06:31:35,6.52,.
A,1978,23,"Springford P C & West G","Leverton ","K2 Senior",02:12:08,2.20,.
B,1978,23,"Arundel J & French P","Met Police ","K2 Senior",03:32:06,3.53,.
C,1978,23,"Gehnich P & Blumson R","City Of London Police","K2 Senior",03:59:55,3.98,.
D,1978,23,"Pilditch M & Metcalfe S",Independent,"K2 Senior",06:39:20,6.65,.
A,1978,24,"Wilkins ? & Fisher ?","Reme & Para","K2 Senior",02:12:21,2.20,.
B,1978,24,"","Royal Marins Ka","K2 Senior",03:34:19,3.57,.
C,1978,24,"Moore J & Elks R","Met Police ","K2 Senior",04:02:04,4.03,.
D,1978,24,"",Recc,"K2 Senior",06:40:55,6.67,.
A,1978,25,"Escort J & Metcalfe R J","Chippenham ","K2 Senior",02:13:20,2.22,.
B,1978,25,"Russell P & Bird S","Hereford Ka","K2 Mixed",03:36:24,3.60,.
C,1978,25,"Williams G & Booth S","Sussex Police","K2 Senior",04:02:35,4.03,.
D,1978,25,"Meredith R & Meredith A","Longridge ","K2 Senior",06:46:20,6.77,.
A,1978,26,"",Unknown,"K2 Senior",02:13:34,2.22,.
B,1978,26,"Shergold S & Ross I","Rmcs ","K2 Senior",03:36:40,3.60,.
C,1978,26,"Escort J & Metcalfe R J","Chippenham ","K2 Senior",04:08:35,4.13,.
D,1978,26,"Shergold S & Ross I","Rmcs ","K2 Senior",06:47:30,6.78,.
A,1978,27,"Love D & Hill G","Chichester ","K2 Senior",02:13:45,2.22,.
B,1978,27,"","Royal Marins Ka","K2 Senior",03:40:09,3.67,.
C,1978,27,"Marks P J & Jones S W","Rmcs ","K2 Senior",04:11:09,4.18,.
D,1978,27,"Arundel J & French P","Met Police ","K2 Senior",06:54:45,6.90,.
A,1978,28,"Bainton G & Cottle G J","Bradford On Avon R. C.","K2 Senior",02:15:40,2.25,.
B,1978,28,"Gillman C R & Little R J",Totnescc,"K2 Senior",03:41:56,3.68,.
C,1978,28,"",Unknown,"K2 Senior",04:14:10,4.23,.
D,1978,28,"","Royal Marins Ka","K2 Senior",07:11:40,7.18,.
A,1978,29,"Moore J & Elks R","Met Police ","K2 Senior",02:16:35,2.27,.
B,1978,29,"Stevenson J A & Pinkham S",Rafca,"K2 Senior",03:42:30,3.70,.
C,1978,29,"Gillman C R & Little R J",Totnescc,"K2 Senior",04:14:43,4.23,.
D,1978,29,"",Unknown,"K2 Senior",07:31:05,7.52,.
A,1978,30,"Woollven R & Hope N K","Rmcs ","K2 Senior",02:17:38,2.28,.
B,1978,30,"Marks P J & Jones S W","Rmcs ","K2 Senior",03:50:20,3.83,.
C,1978,30,"Edwards R & Edwards D","Longridge ","K2 Mixed",04:15:05,4.25,.
A,1978,31,"Bartholamew F & Adlam P","Newbury ","K2 Senior",02:18:15,2.30,.
B,1978,31,"","Royal Marins Ka","K2 Senior",03:53:03,3.88,.
C,1978,31,"Stevenson J A & Pinkham S",Rafca,"K2 Senior",04:20:25,4.33,.
A,1978,32,"Williams G & Booth S","Sussex Police","K2 Senior",02:19:00,2.32,.
B,1978,32,"","Royal Marins Ka","K2 Senior",04:06:11,4.10,.
C,1978,32,"Springford P C & West G","Leverton ","K2 Senior",04:20:57,4.33,.
A,1978,33,"Edwards R & Edwards D","Longridge ","K2 Mixed",02:21:24,2.35,.
A,1978,33,"",Unknown,"K2 Senior",02:50:53,2.83,.
C,1978,33,"Arundel J & French P","Met Police ","K2 Senior",04:27:20,4.45,.
C,1978,33,"",Unknown,"K2 Senior",05:36:46,5.60,.
A,1978,34,"Gollings A & Fletcher P","Wolverhampton ","K2 Senior",02:22:04,2.37,.
C,1978,34,"","Royal Marins Ka","K2 Senior",04:29:25,4.48,.
A,1978,35,"Gehnich P & Blumson R","City Of London Police","K2 Senior",02:22:15,2.37,.
C,1978,35,"","Royal Marins Ka","K2 Senior",04:30:35,4.50,.
A,1978,36,"Smith B H & Dodd P",Rafca,"K2 Senior",02:22:34,2.37,.
C,1978,36,"","Royal Marins Ka","K2 Senior",04:31:02,4.52,.
A,1978,37,"",Unknown,"K2 Senior",02:24:00,2.40,.
C,1978,37,"Russell P & Bird S","Hereford Ka","K2 Mixed",04:45:17,4.75,.
A,1978,38,"",Recc,"K2 Senior",02:26:10,2.43,.
C,1978,38,"","Royal Marins Ka","K2 Senior",05:06:37,5.10,.
A,1978,39,"Gillman C R & Little R J",Totnesc.C.,"K2 Senior",02:29:08,2.48,.
A,1978,40,"Shergold S & Ross I","Rmcs ","K2 Senior",02:29:24,2.48,.
A,1978,41,"Yeoman H & Kelly L","Royal ","K2 Senior",02:30:41,2.50,.
A,1978,42,"Meredith R & Meredith A","Longridge ","K2 Senior",02:31:20,2.52,.
A,1978,43,"Marks P J & Jones S W","Rmcs ","K2 Senior",02:31:26,2.52,.
A,1978,44,"Russell P & Bird S","Hereford K.A.","K2 Mixed",02:36:30,2.60,.
A,1978,45,"Stevenson J A & Pinkham S",Rafca,"K2 Senior",02:38:20,2.63,.
A,1978,46,"","Royal Marins Ka","K2 Senior",02:56:08,2.93,.
A,1978,47,"Arundel J & French P","Met Police ","K2 Senior",03:11:12,3.18,.
A,1978,48,"Patterson J & Collins D","Hereford District Scouts","K2 Senior",03:14:00,3.23,.
A,1978,49,"","Royal Marins Ka","K2 Senior",03:15:18,3.25,.
A,1978,50,"Riddell A & Lisanty T","Leverton ","K2 Senior",03:38:39,3.63,.
A,1979,1,"Smith & Raciborski",Warren,"K2 Junior",01:50:45,1.83,.
A,1979,1,"Greenham Brian & Cornish Tim","Leighton Park & ","K2 Senior",01:52:05,1.87,.
A,1979,1,"Stainsby T & Moore R","Metropolitan Police ","K2 Veteran",02:16:30,2.27,.
B,1979,1,"Smith & Raciborski",Warren,"K2 Junior",02:35:45,2.58,.
B,1979,1,"Greenham Brian & Cornish Tim","Leighton Park & ","K2 Senior",02:38:10,2.63,.
A,1979,1,"Eastwick-Field & Adlam",Newbury,"K2 Ladies",02:56:45,2.93,.
C,1979,1,"Greenham Brian & Cornish Tim","Leighton Park & ","K2 Senior",03:05:35,3.08,.
C,1979,1,"Smith & Raciborski",Warren,"K2 Junior",03:07:00,3.12,.
B,1979,1,"Stainsby T & Moore R","Metropolitan Police ","K2 Veteran",03:09:45,3.15,.
C,1979,1,"Stainsby T & Moore R","Metropolitan Police ","K2 Veteran",03:42:00,3.70,.
B,1979,1,"Eastwick-Field & Adlam",Newbury,"K2 Ladies",04:03:00,4.05,.
D,1979,1,"Greenham Brian & Cornish Tim","Leighton Park & ","K2 Senior",04:30:35,4.50,.
C,1979,1,"Eastwick-Field & Adlam",Newbury,"K2 Ladies",04:38:45,4.63,.
D,1979,1,"Stainsby T & Moore R","Metropolitan Police ","K2 Veteran",05:53:30,5.88,.
D,1979,1,"Smith & Raciborski",Warren,"K2 Junior",05:53:30,5.88,.
A,1979,2,"Harding Ollie & White Ian","Longridge  & ","K2 Senior",01:55:50,1.92,.
B,1979,2,"Harding Ollie & White Ian","Longridge  & ","K2 Senior",02:39:00,2.65,.
B,1979,2,"Rissen & Nixon","35 Northwich Scouts","K2 Junior",02:54:55,2.90,.
C,1979,2,"Harding Ollie & White Ian","Longridge ","K2 Senior",03:10:00,3.17,.
C,1979,2,"Rissen & Nixon","35 Northwich Scouts","K2 Junior",03:26:00,3.43,.
D,1979,2,"Cook & Freeman A","Fladbury C","K2 Senior",04:40:05,4.67,.
D,1979,2,"Rissen & Nixon","35 Northwich Scouts","K2 Junior",04:59:45,4.98,.
A,1979,3,"Pendle Dyson & Pearson A D","35th Norwich SS & ","K2 Senior",01:59:00,1.98,.
B,1979,3,"KInch & Haines","Royal  & ","K2 Senior",02:41:55,2.68,.
C,1979,3,"Story R & Jackson","10 Sig Regt","K2 Senior",03:11:30,3.18,.
C,1979,3,"Salisbury & Sellwood","Leighton Park & BOARC","K2 Junior",03:27:14,3.45,.
